,Date,Location,Confirmed,Cases per 1 million people,Recovered,Deaths
44,2020-05-08,South Africa,8232,140,3153,161
45,2020-05-08,Czechia,8034,751,4372,270
46,2020-05-08,Norway,8034,1497,7114,217
47,2020-05-08,Egypt,7981,80,1887,482
48,2020-05-08,Panama,7868,1865,886,225
49,2020-05-08,Australia,6833,266,6035,93
50,2020-05-08,Kuwait,6567,1486,2381,44
51,2020-05-08,Malaysia,6535,200,4864,107
52,2020-05-08,Finland,5673,1026,3500,255
53,2020-05-08,Morocco,5548,155,2179,183
54,2020-05-08,Argentina,5358,119,1588,282
55,2020-05-08,Algeria,5182,121,2323,483
56,2020-05-08,Kazakhstan,4753,255,1582,31
57,2020-05-08,Moldova,4605,1717,1747,145
58,2020-05-08,Bahrain,4199,2721,2000,8
59,2020-05-08,Luxembourg,3859,6286,3505,100
60,2020-05-08,Afghanistan,3563,111,468,106
61,2020-05-08,Nigeria,3526,17,601,107
62,2020-05-08,Hungary,3178,325,865,392
63,2020-05-08,Armenia,3128,1058,1218,53
64,2020-05-08,Ghana,3091,102,303,18
65,2020-05-08,Thailand,3000,45,2784,55
66,2020-05-08,Oman,2958,634,960,15
67,2020-05-08,Greece,2678,250,1374,148
68,2020-05-08,Iraq,2543,65,1626,102
69,2020-05-08,Uzbekistan,2298,67,1656,10
70,2020-05-08,Cameroon,2267,85,1221,108
71,2020-05-08,Azerbaijan,2204,219,1551,28
72,2020-05-08,Croatia,2125,521,1641,86
73,2020-05-08,Bolivia,2081,181,219,102
74,2020-05-08,Bosnia and Herzegovina,2027,614,954,90
75,2020-05-08,Guinea,1927,158,629,11
76,2020-05-08,Bulgaria,1865,266,401,84
77,2020-05-08,Iceland,1801,4944,1755,10
78,2020-05-08,Cuba,1729,154,1031,73
79,2020-05-08,Estonia,1725,1299,273,56
80,2020-05-08,Honduras,1685,184,154,105
81,2020-05-08,North Macedonia,1572,757,1079,89
82,2020-05-08,Côte d'Ivoire,1571,61,742,20
83,2020-05-08,Senegal,1492,92,562,13
84,2020-05-08,New Zealand,1490,299,1347,21
85,2020-05-08,Slovakia,1455,267,905,26
86,2020-05-08,Slovenia,1449,692,247,99
87,2020-05-08,Lithuania,1436,514,765,49
88,2020-05-08,Djibouti,1133,1051,799,3
89,2020-05-08,Hong Kong,1045,139,944,4
90,2020-05-08,Tunisia,1026,88,600,44
91,2020-05-08,Sudan,930,22,92,52
92,2020-05-08,Latvia,928,487,464,18
93,2020-05-08,Somalia,928,58,106,44
94,2020-05-08,Kyrgyzstan,906,139,650,12
95,2020-05-08,Cyprus,889,1015,400,15
96,2020-05-08,Democratic Republic of the Congo,863,10,103,36
97,2020-05-08,Kosovo,861,479,562,27
98,2020-05-08,Albania,842,296,605,31
99,2020-05-08,Guatemala,832,50,90,23
100,2020-05-08,Sri Lanka,824,38,232,9
101,2020-05-08,Lebanon,784,115,220,25
102,2020-05-08,Niger,781,35,586,42
103,2020-05-08,Costa Rica,765,151,445,6
104,2020-05-08,Andorra,752,9698,526,47
105,2020-05-08,El Salvador,742,114,257,15
106,2020-05-08,Mayotte,739,3230,—,9
107,2020-05-08,Burkina Faso,736,35,562,48
108,2020-05-08,Uruguay,684,194,482,17
109,2020-05-08,Mali,650,33,271,32
110,2020-05-08,Maldives,648,1729,20,3
111,2020-05-08,Georgia,623,167,288,10
112,2020-05-08,San Marino,622,18526,106,41
113,2020-05-08,Kenya,607,13,197,29
114,2020-05-08,Guinea-Bissau,564,352,25,2
115,2020-05-08,Gabon,504,232,110,8
116,2020-05-08,Jordan,494,46,381,9
117,2020-05-08,Jamaica,488,179,58,9
118,2020-05-08,Malta,486,985,413,5
119,2020-05-08,Tanzania,480,9,167,16
120,2020-05-08,Paraguay,462,65,148,10
121,2020-05-08,Taiwan,440,19,355,6
122,2020-05-08,Equatorial Guinea,439,323,13,4
123,2020-05-08,Venezuela,381,12,185,10
124,2020-05-08,Palestine,375,75,224,4
125,2020-05-08,Mauritius,332,262,320,10
126,2020-05-08,Isle of Man,329,3949,271,23
127,2020-05-08,Montenegro,324,521,265,8
128,2020-05-08,Jersey,293,2743,207,25
129,2020-05-08,Vietnam,288,3,233,0
130,2020-05-08,Rwanda,271,22,133,0
131,2020-05-08,Chad,253,16,50,27
132,2020-05-08,Guernsey,252,4013,223,13
133,2020-05-08,Sierra Leone,231,29,54,16
134,2020-05-08,Cape Verde,218,396,38,2
135,2020-05-08,Madagascar,193,7,101,0
136,2020-05-08,Ethiopia,191,2,93,4
137,2020-05-08,Liberia,189,42,79,20
138,2020-05-08,Faroe Islands,187,3588,185,0
139,2020-05-08,Martinique,182,469,—,14
140,2020-05-08,Myanmar (Burma),176,3,62,6
141,2020-05-08,São Tomé and Príncipe,174,862,—,3
142,2020-05-08,Guadeloupe,153,376,—,13
143,2020-05-08,Eswatini,153,140,12,2
144,2020-05-08,Zambia,153,9,101,4
145,2020-05-08,Gibraltar,144,4273,141,0
146,2020-05-08,Brunei,141,319,131,1
147,2020-05-08,Benin,140,12,53,2
148,2020-05-08,French Guiana,138,484,—,1
149,2020-05-08,Togo,135,18,85,9
150,2020-05-08,Haiti,129,11,16,12
151,2020-05-08,Cambodia,122,8,120,0
152,2020-05-08,Bermuda,118,1843,61,7
153,2020-05-08,Trinidad and Tobago,116,85,—,8
154,2020-05-08,Northern Cyprus,108,331,103,4
155,2020-05-08,Nepal,101,3,19,0
156,2020-05-08,Uganda,101,3,55,0
157,2020-05-08,Aruba,101,899,89,3
158,2020-05-08,Monaco,95,2480,82,4
159,2020-05-08,Central African Republic,94,17,10,0
160,2020-05-08,Guyana,93,119,34,10
161,2020-05-08,The Bahamas,92,239,26,11
162,2020-05-08,Barbados,82,286,47,7
163,2020-05-08,Liechtenstein,82,2116,55,1
164,2020-05-08,Mozambique,81,3,24,0
165,2020-05-08,Cayman Islands,80,1216,35,1
166,2020-05-08,Sint Maarten,76,1871,46,14
167,2020-05-08,South Sudan,74,6,0,0
168,2020-05-08,Libya,64,9,24,3
169,2020-05-08,French Polynesia,60,217,56,0
170,2020-05-08,Macao,45,66,40,0
171,2020-05-08,Syria,45,3,27,3
172,2020-05-08,Malawi,43,2,14,3
173,2020-05-08,Mongolia,41,12,13,0
174,2020-05-08,Eritrea,39,11,26,0
175,2020-05-08,Saint Martin,38,1063,—,3
176,2020-05-08,Angola,36,1,11,2
177,2020-05-08,Zimbabwe,34,2,5,4
178,2020-05-08,Yemen,25,1,1,5
179,2020-05-08,Antigua and Barbuda,25,259,—,3
180,2020-05-08,Timor-Leste,24,17,16,0
181,2020-05-08,Botswana,23,10,9,1
182,2020-05-08,Grenada,21,187,13,0
183,2020-05-08,Laos,19,3,9,0
184,2020-05-08,Belize,18,44,16,2
185,2020-05-08,Fiji,18,20,14,0
186,2020-05-08,New Caledonia,18,64,18,0
187,2020-05-08,Saint Lucia,18,101,17,0
188,2020-05-08,Saint Vincent and the Grenadines,17,154,—,0
189,2020-05-08,The Gambia,17,7,9,1
190,2020-05-08,Dominica,16,223,14,0
191,2020-05-08,Namibia,16,7,9,0
192,2020-05-08,Nicaragua,16,2,7,5
193,2020-05-08,Curaçao,16,101,14,1
194,2020-05-08,Burundi,15,1,7,1
195,2020-05-08,Saint Kitts and Nevis,15,284,—,0
196,2020-05-08,Falkland Islands (Islas Malvinas),13,—,13,0
197,2020-05-08,Vatican City,12,—,2,0
198,2020-05-08,Åland Islands,11,368,—,—
199,2020-05-08,Greenland,11,196,11,0
200,2020-05-08,Montserrat,11,—,6,1
201,2020-05-08,Seychelles,11,113,7,0
202,2020-05-08,Suriname,10,17,9,1
203,2020-05-08,Mauritania,8,2,6,1
204,2020-05-08,Papua New Guinea,8,1,8,0
205,2020-05-08,British Virgin Islands,7,233,3,1
206,2020-05-08,Bhutan,7,9,5,0
207,2020-05-08,Caribbean Netherlands,6,242,—,0
208,2020-05-08,Saint Barthélemy,6,—,—,—
209,2020-05-08,Anguilla,3,202,3,0
210,2020-05-08,Saint Pierre and Miquelon,1,—,—,—
211,2020-05-08,Republic of the Congo,—,—,—,—
212,2020-05-08,Réunion,—,—,—,—
